loan_id,client_id,contract_id,principal_amount,interest_rate,loan_type
1,2,359,133143,0.02,car
2,235,106,154242,0.34,personal
3,117,120,45256,0.19,car
4,149,239,70487,0.13,car
5,11,23,55389,0.19,car
6,215,240,15580,0.28,personal
7,8,470,127781,0.06,car
8,68,63,51017,0.04,car
9,198,52,110165,0.22,personal
10,140,236,108734,0.14,car
11,266,229,182342,0.11,car
12,185,398,155888,0.12,car
13,146,265,131182,0.19,car
14,211,55,29980,0.08,personal
15,267,202,179230,0.27,personal
16,16,70,178955,0.12,car
17,50,409,143729,0.03,mortgage
18,236,128,81270,0.04,mortgage
19,247,369,188615,0.1,car
20,220,28,66695,0.15,car
21,65,291,72658,0.05,mortgage
22,173,64,29414,0.13,personal
23,261,293,42736,0.15,car
24,212,84,180293,0.22,personal
25,140,472,73219,0.13,car
26,100,331,107763,0.09,car
27,134,382,168234,0.18,personal
28,91,431,100686,0.04,mortgage
29,106,91,10400,0.14,car
30,220,473,153753,0.08,car
31,292,266,47769,0.19,car
32,247,112,47014,0.35,personal
33,251,48,72217,0.18,personal
34,53,218,196397,0.18,personal
35,99,415,182911,0.12,car
36,288,390,169962,0.14,car
37,72,275,12655,0.32,personal
38,140,379,164732,0.33,personal
39,214,196,195601,0.03,mortgage
40,106,495,50870,0.31,personal
41,280,13,171122,0.08,car
42,222,297,54307,0.02,car
43,186,35,108194,0.14,personal
44,40,270,165342,0.23,personal
45,228,184,170929,0.04,mortgage
46,258,454,140513,0.04,mortgage
47,183,80,179799,0.1,car
48,159,476,193614,0.03,mortgage
49,93,43,149579,0.16,personal
50,177,58,67788,0.1,car
51,254,338,52066,0.16,car
52,43,486,159488,0.12,car
53,114,366,137387,0.16,car
54,118,304,172332,0.04,mortgage
55,55,339,179614,0.03,mortgage
56,220,31,28961,0.16,car
57,95,160,36332,0.03,mortgage
58,57,32,12928,0.04,mortgage
59,201,384,30786,0.08,car
60,79,16,43784,0.04,mortgage
61,242,107,66928,0.09,car
62,188,193,63454,0.3,personal
63,297,47,186949,0.05,mortgage
64,55,316,108269,0.16,personal
65,192,186,143584,0.05,mortgage
66,288,353,123309,0.06,mortgage
67,245,259,95003,0.06,mortgage
68,60,392,22202,0.28,personal
69,180,41,161535,0.06,personal
70,79,357,193960,0.25,personal
71,223,132,134928,0.05,mortgage
72,155,284,132484,0.04,mortgage
73,78,299,180709,0.1,car
74,41,172,99752,0.19,personal
75,47,189,188925,0.15,car
76,181,59,45866,0.06,mortgage
77,156,496,61012,0.28,personal
78,194,308,174800,0.13,car
79,285,387,151827,0.07,car
80,239,278,102280,0.17,personal
81,75,243,134268,0.03,mortgage
82,187,251,106146,0.27,personal
83,251,475,93214,0.26,personal
84,172,279,51192,0.05,car
85,137,479,83087,0.04,mortgage
86,268,311,34812,0.08,personal
87,295,175,100832,0.2,car
88,64,76,69300,0.21,personal
89,20,482,37071,0.05,mortgage
90,128,320,44186,0.08,personal
91,190,317,117544,0.14,car
92,279,68,107367,0.18,car
93,202,277,160388,0.06,car
94,48,51,30633,0.16,car
95,90,137,155412,0.03,mortgage
96,211,192,107766,0.11,car
97,123,224,40299,0.07,car
98,134,439,87480,0.05,personal
99,103,433,188905,0.16,car
100,294,77,78726,0.04,mortgage
101,24,216,116434,0.07,car
102,69,181,171866,0.1,car
103,169,234,153361,0.04,mortgage
104,20,187,62373,0.16,car
105,75,114,91741,0.05,mortgage
106,228,460,110589,0.16,car
107,43,314,143369,0.34,personal
108,262,490,52268,0.31,personal
109,128,204,131131,0.12,car
110,11,452,26421,0.06,mortgage
111,86,426,189723,0.16,car
112,116,368,35647,0.05,mortgage
113,33,65,118031,0.03,mortgage
114,168,488,23650,0.06,mortgage
115,267,383,89311,0.19,personal
116,254,78,16876,0.29,personal
117,49,135,128238,0.29,personal
118,269,425,97329,0.13,car
119,141,335,164385,0.16,personal
120,8,116,35877,0.31,personal
121,103,173,21333,0.2,car
122,50,130,150547,0.2,personal
123,150,207,28663,0.06,mortgage
124,177,328,53829,0.19,car
125,11,345,160436,0.23,personal
126,249,182,21611,0.05,mortgage
127,144,307,31829,0.18,car
128,120,449,126839,0.17,personal
129,173,29,43877,0.17,car
130,156,274,138237,0.08,car
131,226,462,25130,0.04,mortgage
132,55,497,112031,0.17,car
133,166,101,44131,0.04,mortgage
134,165,210,123809,0.05,mortgage
135,42,235,44279,0.04,mortgage
136,170,7,163582,0.13,car
137,254,249,101243,0.05,mortgage
138,52,1,199777,0.03,mortgage
139,15,104,118440,0.11,personal
140,53,83,99011,0.34,personal
141,181,296,90063,0.19,car
142,293,178,17948,0.13,car
143,215,166,67841,0.03,mortgage
144,3,100,47988,0.06,mortgage
145,187,242,183706,0.21,personal
146,94,167,129592,0.18,car
147,192,86,66063,0.03,mortgage
148,10,391,156207,0.19,personal
149,56,95,116583,0.22,personal
150,11,336,161671,0.05,car
151,252,4,161071,0.02,car
152,6,417,100400,0.12,personal
153,233,428,189938,0.3,personal
154,15,447,127341,0.04,mortgage
155,256,430,131377,0.1,personal
156,289,435,89018,0.11,car
157,166,188,175645,0.04,car
158,225,418,96093,0.24,personal
159,122,97,84909,0.3,personal
160,134,412,84242,0.03,mortgage
161,100,241,195982,0.04,mortgage
162,33,42,81362,0.18,car
163,73,294,177043,0.05,personal
164,105,159,54247,0.05,mortgage
165,148,103,36233,0.2,personal
166,274,67,174799,0.14,personal
167,29,209,13364,0.16,car
168,36,374,27425,0.03,mortgage
169,118,163,137720,0.05,mortgage
170,296,324,63339,0.15,car
171,290,323,197624,0.04,mortgage
172,225,108,27733,0.02,car
173,118,453,91941,0.16,car
174,291,436,118702,0.03,mortgage
175,72,491,22560,0.04,mortgage
176,259,480,83529,0.03,mortgage
177,218,246,82972,0.04,mortgage
178,106,427,178268,0.17,car
179,262,60,54518,0.04,mortgage
180,43,373,89979,0.06,mortgage
181,236,461,180062,0.05,mortgage
182,62,140,107930,0.06,mortgage
183,299,340,150231,0.05,mortgage
184,177,40,198476,0.05,car
185,16,483,62486,0.14,car
186,13,26,85791,0.15,car
187,251,85,140467,0.16,personal
188,296,494,158765,0.3,personal
189,86,474,28071,0.06,car
190,23,125,194548,0.14,car
191,277,14,132275,0.03,mortgage
192,57,371,72734,0.06,mortgage
193,232,312,23091,0.15,car
194,159,416,196485,0.05,mortgage
195,112,255,169273,0.08,car
196,162,10,101104,0.35,personal
197,172,363,182274,0.08,car
198,24,8,76143,0.14,car
199,83,212,57265,0.15,car
