client_id,contract_date,principal_amount,loan_type
1,2022-01-03,95309,mortgage
1,2022-03-24,87435,car
8,2022-01-08,13484,personal
8,2022-01-13,148282,personal
8,2022-04-06,145411,mortgage
12,2022-02-04,69421,personal
14,2022-01-27,186635,personal
24,2022-02-17,76143,car
38,2022-04-02,61322,mortgage
39,2022-04-14,122335,car
42,2022-01-10,44279,mortgage
42,2022-01-31,134307,mortgage
44,2022-04-03,37105,car
46,2022-04-07,133511,mortgage
50,2022-01-13,143729,mortgage
50,2022-02-12,168308,personal
50,2022-03-24,150547,personal
54,2022-02-10,62475,personal
54,2022-02-16,197907,personal
56,2022-02-23,129726,mortgage
57,2022-04-03,72734,mortgage
70,2022-03-24,179598,mortgage
73,2022-04-14,135750,personal
79,2022-01-24,43784,mortgage
86,2022-01-26,189413,mortgage
86,2022-03-14,189723,car
88,2022-02-17,149806,car
89,2022-01-11,155954,car
89,2022-02-21,139309,car
89,2022-03-14,39459,personal
95,2022-01-31,20160,personal
95,2022-03-20,39098,personal
105,2022-02-06,194934,personal
105,2022-03-07,54247,mortgage
109,2022-01-21,198782,personal
122,2022-02-17,108920,personal
123,2022-01-11,76458,mortgage
123,2022-01-21,63570,personal
123,2022-03-06,48213,car
126,2022-01-17,133626,personal
128,2022-02-16,95172,mortgage
128,2022-03-27,44186,personal
135,2022-02-13,188202,personal
136,2022-01-08,38320,car
136,2022-02-11,22017,car
136,2022-03-10,108071,personal
147,2022-01-28,188427,car
147,2022-02-18,105363,car
147,2022-03-18,103599,personal
151,2022-03-24,57558,mortgage
154,2022-01-03,99160,mortgage
154,2022-03-24,148392,car
156,2022-03-13,145258,car
157,2022-01-03,137595,mortgage
160,2022-04-01,196207,mortgage
171,2022-04-03,53064,personal
172,2022-01-31,182274,car
181,2022-01-03,33656,personal
181,2022-02-16,45866,mortgage
182,2022-04-12,116800,car
194,2022-01-03,174800,car
208,2022-01-12,153975,car
210,2022-01-01,142956,car
210,2022-02-15,101467,personal
211,2022-02-23,147004,mortgage
211,2022-03-18,107766,car
225,2022-01-03,78484,mortgage
225,2022-01-29,78817,mortgage
225,2022-03-27,96093,personal
227,2022-01-31,165942,mortgage
232,2022-02-08,78386,personal
232,2022-03-10,23091,car
234,2022-01-08,187802,personal
234,2022-01-12,17567,car
242,2022-01-27,73543,personal
245,2022-01-03,95003,mortgage
251,2022-04-14,93214,personal
252,2022-03-24,161071,car
267,2022-01-12,134996,mortgage
267,2022-01-24,128020,mortgage
267,2022-03-07,89311,personal
267,2022-03-08,179230,personal
270,2022-01-28,41049,car
271,2022-03-14,86787,mortgage
280,2022-01-02,171122,car
280,2022-03-07,68929,personal
280,2022-03-20,40417,personal
281,2022-04-03,124385,car
282,2022-02-07,17008,personal
282,2022-02-11,196673,personal
282,2022-03-24,121069,mortgage
284,2022-01-16,159759,personal
286,2022-04-06,16380,car
300,2022-02-14,130415,personal
